[2017-06-02 14:09:27]	 ,            Graphics_SubmissionIncFrame, 35.13 ms
[2017-06-02 14:09:27]	 ,        Civ6App_Graphics_IncFrame, 35.38 ms
[2017-06-02 14:09:27]	 ,----- FRAME: 3304 time: 39.53ms Moving avg: 20.66ms 3 frames since last 
[2017-06-02 14:09:27]	 ,            Graphics_SubmissionIncFrame, 42.35 ms
[2017-06-02 14:09:27]	 ,        Civ6App_Graphics_IncFrame, 42.53 ms
[2017-06-02 14:09:27]	 ,----- FRAME: 3306 time: 45.12ms Moving avg: 20.96ms 3 frames since last 
[2017-06-02 14:09:28]	 ,            Graphics_SubmissionIncFrame, 41.41 ms
[2017-06-02 14:09:28]	 ,        Civ6App_Graphics_IncFrame, 41.65 ms
[2017-06-02 14:09:28]	 ,----- FRAME: 3308 time: 44.83ms Moving avg: 21.61ms 3 frames since last 
[2017-06-02 14:09:28]	 ,            Graphics_SubmissionIncFrame, 36.56 ms
[2017-06-02 14:09:28]	 ,        Civ6App_Graphics_IncFrame, 36.77 ms
[2017-06-02 14:09:28]	 ,----- FRAME: 3310 time: 38.48ms Moving avg: 21.87ms 3 frames since last 
[2017-06-02 14:09:28]	 ,            Graphics_SubmissionIncFrame, 34.13 ms
[2017-06-02 14:09:28]	 ,        Civ6App_Graphics_IncFrame, 34.31 ms
[2017-06-02 14:09:28]	 ,----- FRAME: 3313 time: 35.93ms Moving avg: 22.05ms 4 frames since last 
[2017-06-02 14:09:28]	 ,            Graphics_SubmissionIncFrame, 47.67 ms
[2017-06-02 14:09:28]	 ,        Civ6App_Graphics_IncFrame, 47.90 ms
[2017-06-02 14:09:28]	 ,----- FRAME: 3317 time: 51.05ms Moving avg: 22.96ms 5 frames since last 
[2017-06-02 14:09:32]	 ,            Graphics_SubmissionIncFrame, 31.34 ms
[2017-06-02 14:09:32]	 ,        Civ6App_Graphics_IncFrame, 31.45 ms
[2017-06-02 14:09:32]	 ,----- FRAME: 3570 time: 33.02ms Moving avg: 16.94ms 254 frames since last 
[2017-06-02 14:09:40]	 ,            Civ6App_Graphics_Present, 210.29 ms
[2017-06-02 14:09:40]	 ,        Civ6App_UpdateFrame, 211.59 ms
[2017-06-02 14:09:40]	 ,----- FRAME: 4042 time: 211.66ms Moving avg: 19.70ms 473 frames since last 
[2017-06-02 14:10:03]	 ,Graphics_SubmissionIncFrame, 31.27 ms
[2017-06-02 14:10:03]	 ,Civ6App_Graphics_IncFrame, 31.48 ms
[2017-06-02 14:10:03]	 ,----- FRAME: 5418 time: 33.49ms Moving avg: 15.75ms 1377 frames since last 
[2017-06-02 14:10:04]	 ,            Graphics_SubmissionIncFrame, 57.31 ms
[2017-06-02 14:10:04]	 ,        Civ6App_Graphics_IncFrame, 57.42 ms
[2017-06-02 14:10:04]	 ,----- FRAME: 5441 time: 59.07ms Moving avg: 17.35ms 24 frames since last 
[2017-06-02 14:10:04]	 ,            Graphics_SubmissionIncFrame, 30.28 ms
[2017-06-02 14:10:04]	 ,        Civ6App_Graphics_IncFrame, 30.38 ms
[2017-06-02 14:10:04]	 ,----- FRAME: 5445 time: 32.92ms Moving avg: 18.20ms 5 frames since last 
[2017-06-02 14:10:04]	 ,            Graphics_SubmissionIncFrame, 36.91 ms
[2017-06-02 14:10:04]	 ,        Civ6App_Graphics_IncFrame, 37.10 ms
[2017-06-02 14:10:04]	 ,----- FRAME: 5446 time: 39.60ms Moving avg: 18.53ms 2 frames since last 
[2017-06-02 14:10:04]	 ,            Graphics_SubmissionIncFrame, 55.27 ms
[2017-06-02 14:10:04]	 ,        Civ6App_Graphics_IncFrame, 55.39 ms
[2017-06-02 14:10:04]	 ,----- FRAME: 5449 time: 58.15ms Moving avg: 19.20ms 4 frames since last 
[2017-06-02 14:10:04]	 ,            Graphics_SubmissionIncFrame, 36.85 ms
[2017-06-02 14:10:04]	 ,        Civ6App_Graphics_IncFrame, 37.14 ms
[2017-06-02 14:10:04]	 ,----- FRAME: 5451 time: 40.59ms Moving avg: 19.42ms 3 frames since last 
[2017-06-02 14:10:04]	 ,            Graphics_SubmissionIncFrame, 45.40 ms
[2017-06-02 14:10:04]	 ,        Civ6App_Graphics_IncFrame, 45.52 ms
[2017-06-02 14:10:04]	 ,----- FRAME: 5454 time: 48.15ms Moving avg: 19.95ms 4 frames since last 
[2017-06-02 14:10:04]	 ,            Graphics_SubmissionIncFrame, 38.32 ms
[2017-06-02 14:10:04]	 ,        Civ6App_Graphics_IncFrame, 38.73 ms
